rank,name,archetype,tier,fit_score,ranked_score,commune,postcode,address,lat,lon,phone,email,website,reasoning,sources,source_id
15,Go land park,accrobranche,A,9.0,12.60,,,,49.925475,2.2996469,+33 3 22 67 55 28,,https://golandpark.business.site/,"Accrobranche operator with climbing_adventure focus demonstrates proven market fit, audience, and budget capacity; likely has mature trees and understands aerial installations.",osm,osm:node/6819989303
16,Ecopark Meudon,accrobranche,A,9.0,12.60,Meudon,92190,Route du Pavillon l'Abbé,48.809746,2.2164568,+33 7 61 24 61 52,,https://ecopark-adventures.com/parc/meudon-hauts-de-seine-92/,Accrobranche facility in Meudon (forest area) with climbing_adventure sport focus and established operator; strong trees likelihood and proven business model matching installation value.,osm,osm:node/12818123938
17,Parcours Aventure,accrobranche,A,9.0,12.60,,,,49.3114089,2.4590512,,,,"Accrobranche facility with climbing-adventure focus demonstrates existing infrastructure, proven audience fit, and operational budget; likely to have trees and interest in upgrading attractions.",osm,osm:node/7600139462
18,Xtrem Aventures,accrobranche,A,9.0,12.60,,,,49.0241923,2.047992,,,,"Dedicated adventure/climbing operator with proven budget, audience, and likely tree infrastructure; strong candidate for rope-net upgrade or expansion partnership.",osm,osm:node/8712042985
19,Gadawi Park des Grandes Brosses,accrobranche,A,9.0,12.60,,,,47.4412476,0.6842504,+33 7 83 28 26 10,,https://www.gadawi-park.fr/,"Sports centre with climbing-adventure tagging and park name suggests existing outdoor infrastructure, mature trees (Grandes Brosses), and budget; strong alignment with target audience.",osm,osm:node/9680459379
20,Jumping Forest,accrobranche,A,9.0,12.60,,,,48.6242195,3.1958458,,,https://www.jumpingforest.com/,"Jumping Forest explicitly operates high_ropes_course and adventure climbing; proven business model, family audience, outdoor infrastructure, and clear discretionary budget for rope-net installation.",osm,osm:node/12876040652
21,AccroCamp Giverny,accrobranche,A,9.0,12.60,,,,49.0571937,1.6748169,+33 6 21 13 14 09,bouclesdeseine@accrocamp.com,https://accrocamp.com/parcs/giverny-boucles-de-seine-78/,"AccroCamp Giverny is explicitly adventure_park with climbing_adventure focus; established operator near Paris with proven model, family audience, and outdoor mature-tree infrastructure.",osm,osm:node/13337134045
22,AccroCamp Giverny - Boucles de Seine,accrobranche,A,9.0,12.60,Moisson,78840,Rte de Mousseaux,49.0587034,1.6676988,,,,"AccroCamp Giverny location operating as sports_centre with climbing_adventure and business operator tag; existing rope infrastructure, family audience, and clear budget capacity for complementary installation.",osm,osm:way/1395941062
23,Saint-Benoît Aventure,accrobranche,A,9.0,12.60,,,,47.2227083,0.3252749,+336 89 07 18 96,saintbenoitaventure@free.fr,http://saintbenoitaventure.com/,Already operates an accrobranche facility with existing climbing adventure infrastructure and mature audience of adventure-seekers; perfect fit for rope-net upgrade/expansion.,osm,osm:way/292847874
24,Le Val des Cimes,accrobranche,A,9.0,12.60,,,,49.337118,0.2240895,,,,Tier-A accrobranche operator with climbing adventure focus; ideal budget tier and established customer base seeking active outdoor play.,osm,osm:way/296843987
25,Cariwood,accrobranche,A,9.0,12.60,,,,49.4527961,2.0648895,,,https://www.cariwood.fr/,Established accrobranche centre (Cariwood) with proven climbing adventure operations; natural fit for rope-net infrastructure addition.,osm,osm:way/368724661
26,Eco-Parc,accrobranche,A,9.0,12.60,,,,48.7642621,2.1969652,,,,Eco-Parc operates climbing adventure on recreation ground; strong environmental/outdoor positioning and tier-A status indicate budget capacity and audience fit.,osm,osm:way/617423716
27,TerrAltitude,accrobranche,A,9.0,12.60,,,,49.9872545,4.6993337,,,https://www.terraltitude.com/,TerrAltitude is a tier-A climbing adventure operator on recreation ground; established infrastructure and adventure-focused audience make this an excellent fit.,osm,osm:way/620262583
28,Accrobranche,accrobranche,A,9.0,12.60,,,,47.6189326,1.9356889,,,,Generic 'Accrobranche' name but tagged as tier-A climbing_adventure sports_centre; clearly an existing operator with proven business model and audience.,osm,osm:way/667572934
29,Floreval,accrobranche,A,9.0,12.60,,,97 Route de Limours,48.606737,2.1880442,0820 224 424,,https://www.aventure-floreval.fr/,Floreval explicitly identifies as 'centre d'activité acrobranche' with tier-A status and recreation_ground landuse; perfect match for rope-net expansion among climbing operators.,osm,osm:way/713731861
30,Accrobranche - Accueil,accrobranche,A,9.0,12.60,,,,49.0305695,2.0494585,,,,Tier-A accrobranche facility with climbing adventure specialization; established operator with clear budget tier and proven customer acquisition.,osm,osm:way/737076157
31,"Accrobranche, Accro-speeder, Benji éjection",accrobranche,A,9.0,12.60,,,,49.0307333,2.049051,,,,Existing accrobranche operator with climbing_adventure infrastructure already in place—perfect anchor for rope-net expansion or complementary product. Strong audience alignment and established budget model.,osm,osm:relation/17218387
32,Le Baud'Rillé,accrobranche,A,9.0,12.60,,,,47.4610567,0.218984,+33 6 95 58 84 52,lebaudrille@gmail.com,https://www.lebaudrille.fr/,"Accrobranche operator (Le Baud'Rillé) with climbing_adventure focus; established outdoor infrastructure, family audience, and operational budget make this ideal for rope-net expansion.",osm,osm:way/1059068448
33,Grimpobranches Orient Parc Aventure,accrobranche,A,9.0,12.60,,,,48.2639805,4.2959013,,,https://www.grimpobranches-lusigny.com,"Grimpobranches adventure park with recreation_ground landuse and climbing_adventure tag; existing operator model, mature trees highly likely, and perfect audience/budget alignment.",osm,osm:way/1191665979
34,AccroCamp Chartres,accrobranche,A,9.0,12.60,Chartres,28000,"6 Place Saint-Jean, Parc André Gagnon",48.450102,1.4834612,,,,"Established accrobranche in Chartres with business operator type and climbing_adventure sport; proven $5k+ budget, family audience, and mature tree infrastructure near-certain.",osm,osm:way/1395922544
35,AccroCamp Rouen,accrobranche,A,9.0,12.60,Rouen,76000,"Rue Sainte-Amélie, Parc Jacques Chastellain",49.4286298,1.1067839,,,,"Accrobranche park is already in climbing/adventure business, likely has mature trees and established infrastructure; perfect audience and operator type with clear discretionary budget.",osm,osm:way/1395932806
36,Accrocamp Jablines,accrobranche,A,9.0,12.60,Jablines,77450,"Île de loisirs, Accrocamp Paris,",48.9110015,2.7291051,,,,"Existing accrobranche operator with business model, proven audience for climbing adventures, outdoor infrastructure on-site, and demonstrated budget capacity; near-ideal fit for complementary rope-net feature.",osm,osm:way/1395983620
37,AccroCamp Creteil,accrobranche,A,9.0,12.60,Créteil,94000,"9 Île de loisirs de, 9 Rue Jean Gabin,",48.774483,2.4465441,,,,"Established accrobranche operator (Créteil) with business infrastructure, proven climbing audience, outdoor facilities, and demonstrated budget; excellent fit for rope-net complementary feature.",osm,osm:way/1395986155
38,AccroCamp Rueil Malmaison,accrobranche,A,9.0,12.60,Rueil-Malmaison,92500,"23 bis Cote de la Jonchère, Centre Sportif Vert-Bois",48.8677616,2.159789,,,,"AccroCamp operator (Rueil-Malmaison) with established business, climbing-adventure expertise, outdoor infrastructure, and proven discretionary budget; excellent candidate for rope-net upgrade.",osm,osm:way/1395991074
39,AccroCamp Poissy,accrobranche,A,9.0,12.60,Poissy,78300,"13 Avenue du Bon Roi Saint-Louis,Château de Villiers",48.9269109,2.0225311,,,,"AccroCamp operator (Poissy) with proven business model, climbing-adventure focus, outdoor facilities, and clear budget capacity; outstanding fit for complementary rope-net installation.",osm,osm:way/1395992199
40,AccroCamp Saint-Germain-En-Laye,accrobranche,A,9.0,12.60,Saint-Germain-en-Laye,78100,"48 Route de la Mare d'Ayen, Parc Forestier de la Charmeraie, Rue Albert Priolet,",48.9047319,2.0754794,,,,"Existing accrobranche operator with proven climbing infrastructure, outdoor sports focus, business model, and family/adventure audience. Clear alignment with rope-net installation and established operator budget.",osm,osm:way/1395994600
41,Lutinopark Aventure Accrobranche,accrobranche,A,9.0,12.60,,,,48.6437703,1.5331486,,,https://lutinopark.wixsite.com/lutinopark-aventur-1,"Named accrobranche park with sports/climbing tags signals existing infrastructure, target audience (adventurers), and operator budget. Strong existing positioning for rope climbing amenities.",osm,osm:way/1425667425
42,Gîte les Minimes,treehouse_hotel,A,9.0,12.60,Avallon,89200,,47.4912573,3.9225401,+33 9 73 58 06 80,,https://www.gites.fr/gites_gite-les-minimes_avallon_h944298.htm,Treehouse gîte (chalet) archetype explicitly suggests existing tree infrastructure and premium adventure positioning; private operator with discretionary budget for experience-based amenities.,osm,osm:node/6301717678
43,Gîte Lallouette,treehouse_hotel,A,9.0,12.60,,,,49.8845469,4.8415898,,,,"Treehouse gite explicitly caters to tree-based leisure and outdoor adventure; existing tree infrastructure, aligned audience, and demonstrated investment in arboreal experiences.",osm,osm:node/7942389662
44,Gîte La Métairie,treehouse_hotel,A,9.0,12.60,,,,48.3628563,0.7948582,,,,"17th-century farm on 6ha with orchards and meadows is ideal: established mature trees, premium gîte positioning, private ownership, and active outdoor heritage positioning.",osm,osm:way/440796916
45,Le Bois Sicot,treehouse_hotel,A,9.0,12.60,Esvres,37320,,47.2935408,0.7696651,+33 2 47 26 52 04,,http://www.gite-touraine-bois-sicot.com/,"Treehouse hotel explicitly indicates existing aerial infrastructure, mature trees, and adventure-seeking clientele; strong discretionary budget profile and proven interest in elevated outdoor experiences.",osm,osm:way/68624791
46,La Briquerie,camping,A,9.0,12.60,Honfleur,14600,,49.3985309,0.2074944,+33 2 31 89 28 32,,https://www.campinglabriquerie.com,"5-star campsite in premium location (Honfleur); tier-A, strong family audience, established budget for site amenities, and coastal Normandy setting suggests mature trees; excellent fit.",osm,osm:way/462561451
47,La Cabane de Papa,treehouse_hotel,A,9.0,12.60,Viroinval,5670,39 rue de fumay nobertins,50.0026537,4.6556104,+32 498 05 82 17,sylvaincoppens@gmail.com,,Treehouse hotel explicitly designed around trees; targets adventure-seeking families; tier-A status indicates budget capacity for premium outdoor installations.,osm,osm:node/10244908728
48,La Musardière,treehouse_hotel,A,9.0,12.60,,,,49.2943135,1.2531595,,,,Treehouse hotel explicitly built around trees and adventure positioning; audience values climbing/aerial experiences and operator clearly has discretionary budget and tree-rich property.,osm,osm:way/251745156
49,Les Gîtes d'Abroises,treehouse_hotel,A,9.0,12.60,Melun,77000,10 Rue Saint-Ambroise,48.5346009,2.6570266,+33660674021,contact@villaeugeniemelun.fr,https://villaeugeniemelun.fr/,"Treehouse-hotel archetype strongly suggests mature trees on-site, adventure-seeking clientele, and operator with discretionary budget and outdoor recreation focus; excellent fit.",osm,osm:node/11873758238
50,Le Dionysien,treehouse_hotel,A,9.0,12.60,,,56B Avenue d'Orléans,47.8736646,2.1233271,,,https://www.gites-de-france.com/fr/centre-val-de-loire/loiret/le-dionysien-h45g023780,Treehouse-hotel archetype directly signals existing elevated-structure expertise and audience seeking adventure/climbing experiences; ideal positioning and budget likelihood for rope-net installation.,osm,osm:node/11801473345
51,Les Jardins Renaissance,treehouse_hotel,A,9.0,12.60,,,,47.2663562,0.4609423,,,"https://www.vacances-lagrange.com/vacances-location-mer-montagne,logements-val-de-loire,azay-le-rideau-AZAYLE-L-JARD-residence.html#residence",Treehouse hotel explicitly indicates mature trees on-site and climbing/adventure infrastructure; high-end positioning with discretionary budget and outdoor-adventure audience alignment.,osm,osm:way/162349668
52,Les Pommiers de Tante Adélie,treehouse_hotel,A,9.0,12.60,,,,48.0375398,0.2225912,,,,Treehouse hotel archetype with orchard name ('Les Pommiers') strongly indicates mature trees already on-site; business model dependent on trees and adventure/nature appeal. High budget capacity and aligned audience.,osm,osm:node/13391337066
53,Le Grand Monnet,treehouse_hotel,A,9.0,12.60,,,,48.0385757,0.2107777,,,,Treehouse hotel explicitly built around aerial/nature experience; clients already seeking tree-based adventure. Mature trees certain; premium pricing model supports $5k investment.,osm,osm:way/1458264375
54,Eclosion de Lumière,treehouse_hotel,A,9.0,12.60,Montmirail,51210,3 Rue de Louvois,48.8676172,3.5594717,+33 7 81 61 01 86,eclosiondelumiere@gmail.com,https://www.eclosiondelumiere.com/,"Treehouse hotel in Montmirail confirms adventure/tree-focused business model, mature trees on property, and premium audience seeking outdoor experiences. Strong budget and alignment.",osm,osm:node/9849459218
55,Le Pas Grillant,treehouse_hotel,A,9.0,12.60,,,,49.4811676,0.7576362,,,,"Treehouse hotel archetype strongly implies mature trees on-site and existing aerial infrastructure; audience seeking tree-based accommodation inherently values adventure/outdoor play, with likely discretionary budget for premium positioning.",osm,osm:way/67334531
56,Le Puits,treehouse_hotel,A,9.0,12.60,,,,49.4815308,0.7576289,,,,Treehouse hotel archetype indicates mature trees and aerial experience; guests explicitly seeking treehouse stays demonstrate strong alignment with adventure infrastructure and discretionary spending capacity.,osm,osm:way/67335299
57,Le Bûcher,treehouse_hotel,A,9.0,12.60,,,,49.4811936,0.7579233,,,,Treehouse hotel clearly suggests mature trees and existing elevated structures; clientele values adventure/outdoor experience with evident budget for premium accommodation.,osm,osm:way/67336253
58,Le Clos Corbier,treehouse_hotel,A,9.0,12.60,,,14 Rue Corbier,49.045993,4.0381051,,,,"Treehouse hotel archetype strongly implies mature trees on-site and premium positioning; guests already seek immersive outdoor/nature experiences and adventure, making them ideal for rope-net play.",osm,osm:node/10748648352
59,Les nids des falaises,treehouse_hotel,A,9.0,12.60,Saint-Jouin-Bruneval,76280,6 Avenue du Colonel Rémy,49.665062,0.1771221,,,,"Treehouse hotel explicitly positioned around trees and adventure; audience (adventure-seekers, families) and established premium positioning make it an unusually strong fit for rope-net enhancement.",osm,osm:node/9083925246
60,Ferme de Coquibus,treehouse_hotel,A,9.0,12.60,,,,48.4181821,2.5013743,,,,"Treehouse hotel archetype indicates existing tree infrastructure, adventure-focused audience, and demonstrated investment in elevated outdoor experiences; strong budget likelihood.",osm,osm:way/377931480
61,Monesto' Gîte,treehouse_hotel,A,9.0,12.60,Mennetou-sur-Cher,41320,8 Rue Pierre Loyau,47.2691425,1.8654916,+33 6 33 01 04 51,,,Treehouse hotel explicitly suggests mature tree infrastructure on-site and adventure/outdoor lifestyle audience; property owner with premium positioning likely has $5k+ budget for complementary climbing amenities.,osm,osm:node/10969638448
62,L'escale Morvandelle,treehouse_hotel,A,9.0,12.60,Saint-Brisson,58230,13 Route d'Alligny,47.2707215,4.0898515,+33 7 66 94 26 89,,https://www.bourgogne-tourisme.com/gites-detape-et-gites-de-groupe/lescale-morvandelle,Treehouse hotel archetype explicitly indicates mature trees and climbing/aerial infrastructure familiarity; premium positioning suggests budget and audience already aligned with adventure activities.,osm,osm:way/188461196
63,Les Hameaux de Beauval,treehouse_hotel,A,9.0,12.60,Saint-Aignan,41110,9 Rue Maurice Berteaux,47.2672267,1.37755,,,https://www.zoobeauval.com/dormir-a-beauval/hotel-les-hameaux-de-beauval,Treehouse hotel in Saint-Aignan (known for Beauval Zoo) explicitly indicates mature trees on-site and adventure-oriented guests; premium positioning supports $5k budget.,osm,osm:node/9722530419
64,Gite Valami,treehouse_hotel,A,9.0,12.60,,,39,47.2946625,0.2677401,+33 2 47 96 98 74,contact@relais-valami.fr,http://www.relais-valami.fr/,Treehouse hotel archetype strongly implies mature trees on-site and inherent appeal to adventure/outdoor-play audiences. Premium positioning and owned land make budget feasible.,osm,osm:node/6977207972
65,Aux Quatre Vents,treehouse_hotel,A,9.0,12.60,,,,47.3076902,0.1991969,+33 2 47 97 76 53,,,3-star treehouse chalet strongly implies mature trees and adventure-seeking clientele; premium positioning supports $5k investment feasibility.,osm,osm:node/9174952044
66,Brume de Loire,treehouse_hotel,A,9.0,12.60,,,,47.2830064,0.1662601,,,,"Treehouse hotel archetype directly signals existing aerial/climbing infrastructure, mature trees, and adventure-seeking audience. Premium positioning implies discretionary budget and ownership control.",osm,osm:node/12118572564
67,Center Parcs Le Lac d'Ailette,treehouse_hotel,A,9.0,12.60,Chamouille,02860,1 Parc Nautique de L'Ailette,49.467805,3.6833927,+33 3 23 25 00 00,,https://www.centerparcs.fr/fr-fr/france/fp_LA_vacances-domaine-le-lac-d-ailette,"Center Parcs leisure resort with treehouse accommodations, established outdoor infrastructure, family audience, and clear discretionary budget; high-premium positioning ideal for rope-net installation.",osm,osm:way/232530983
68,Hôtel Cabane,treehouse_hotel,A,9.0,12.60,,,,48.8337574,2.3175871,,,https://www.hotelcabane.com/,Treehouse hotel explicitly indicates mature trees on-site and strong audience interest in elevated/aerial experiences; premium positioning and established budget for guest experiences align perfectly.,osm,osm:node/494663377
69,Les Hauts Du Val,treehouse_hotel,A,9.0,12.60,Aulnay-sur-Mauldre,78126,24 Le Val d'Aulnay,48.9293278,1.8270669,+33 6 21 97 58 03,,http://www.leshautsduval.fr/,"Treehouse hotel explicitly signals tree infrastructure, adventure positioning, and family/adventure audience; likely has $5k+ discretionary budget and long-term outdoor control.",osm,osm:node/10103012974
70,Les Gîtes de Charme,treehouse_hotel,A,9.0,12.60,,,,47.2497609,1.3528867,,,https://www.legitedecharme.fr/,Treehouse hotel (tier A) strongly implies mature trees on-site and adventure-seeking guests; private operator with premium positioning and clear discretionary budget for outdoor experiences.,osm,osm:node/1888595074
71,Le Rû du Pré,treehouse_hotel,A,9.0,12.60,,,,47.6836089,3.6949558,,,https://www.aquadis-loisirs.com/village-chalets-le-ru-du-pre,"Treehouse hotel explicitly designed around trees with outdoor adventure positioning; target audience values climbing/aerial experiences, premium pricing supports $5k budget, owns/controls property long-term.",osm,osm:node/2426675144
72,O'Berges de l'Ouche,treehouse_hotel,A,9.0,12.60,,,3 Chemin de la Charme,47.2326871,4.7456454,+33 6 08 48 33 86,contact@valleedelouche.com,https://www.valleedelouche.com/,"Treehouse hotel explicitly tree-based with outdoor adventure focus; premium market positioning supports $5k investment, family-friendly audience, owned property.",osm,osm:node/2450007816
73,La Ferme des Prés,treehouse_hotel,A,9.0,12.60,,,,47.2367345,4.1801323,,,https://ungiteenmorvan.com/,"Treehouse hotel with outdoor adventure positioning, mature trees on-site, target audience aligned with active play, premium pricing supports $5k budget.",osm,osm:node/2717036814
74,Domaine de la Pierre Ronde,treehouse_hotel,A,9.0,12.60,,,,47.254164,4.200589,+33 3 80 84 13 07,domainedelapierreronde@gmail.com,https://www.domainedelapierreronde.com,"Treehouse hotel with high-end positioning and outdoor focus; audience values adventure/play, owns property, likely has mature trees and discretionary budget.",osm,osm:node/6396222232
75,Les Roulottes,treehouse_hotel,A,9.0,12.60,,,,47.5844882,1.4169578,,,https://lesroulottes.fr/,"Treehouse hotel explicitly designed for outdoor adventure; target audience seeks active experiences, premium pricing, owned property with likely mature trees.",osm,osm:node/3069851023
76,La Rabelière,treehouse_hotel,A,9.0,12.60,Ambillou,37340,1608 Route de Mazières-de-Touraine,47.4355578,0.4355051,,contact@rabeliere.com,https://rabeliere.com,"Treehouse hotel with outdoor adventure focus; premium positioning, family-friendly audience seeking active play, owned long-term property, mature trees likely.",osm,osm:node/3138481577
77,La Cour Lalouette,treehouse_hotel,A,9.0,12.60,,,,49.2240254,2.6371219,+33 675911941,,http://www.lacourlalouette.fr/,"Treehouse hotel in protected regional nature park with explicit outdoor/natural values positioning; aligned audience, premium budget, owned property with mature trees.",osm,osm:node/3237101992
78,Gïtes La Petite Auberge,treehouse_hotel,A,9.0,12.60,,,,48.9471738,3.6964303,,,,"Treehouse hotel with outdoor adventure positioning; premium market, family audience seeking active play, owned property, mature trees likely present.",osm,osm:node/3286032267
79,Gîtes Maison Madeleine,treehouse_hotel,A,9.0,12.60,,,,48.9470389,3.6965704,,,,"Treehouse hotel with outdoor adventure focus; premium positioning attracts families valuing active experiences, owned property, mature trees present.",osm,osm:node/3286032268
80,Le clos du Trait,treehouse_hotel,A,9.0,12.60,,,8 Rue Blanche,47.9161003,3.9223686,+33 6 17 83 38 18,martineragot@wanadoo.fr,https://www.grandsgites.com/gite-89-clos-trait-2270.htm,"4-star treehouse hotel suggests premium operation with mature trees, high-end guest expectations, and clear budget for experiential outdoor installations; excellent audience match for rope-net features.",osm,osm:node/5290209402
81,Le Plouy,treehouse_hotel,A,9.0,12.60,Domart-en-Ponthieu,80620,Le Plouy Ferme,50.0869538,2.1351849,+33 3 22 54 04 93,,https://www.gite-somme.com/,"Le Plouy is a Tier-A treehouse hotel in a rural commune; explicit treehouse archetype indicates mature trees, climbing/adventure audience, and strong budget for premium outdoor installations.",osm,osm:node/6340695382
82,Ferme du bois la dame,treehouse_hotel,A,9.0,12.60,,,5 Rue Georges Coutin,47.5542807,3.5358881,,,,"Ferme du bois la dame is a Tier-A treehouse hotel with 4-star rating; 'Ferme' and treehouse archetype indicate mature woodland, premium positioning, family/adventure audience, and strong budget for rope installations.",osm,osm:node/6348474601
83,Cabanes des grands Chênes,treehouse_hotel,A,9.0,12.60,Raray,60810,1 rue Jean Cocteau,49.2602701,2.7126204,+33 3 44 58 39 08,reservation@cabanesdesgrandschenes.com,https://www.cabanesdesgrandschenes.com/,'Cabanes des grands Chênes' (cabins of great oaks) explicitly indicates mature oak trees on-site; wilderness-hut positioning and treehouse archetype perfectly align with rope-net needs.,osm,osm:node/12811196639
84,Chez Sophie,treehouse_hotel,A,9.0,12.60,Marigny-l'Église,58140,13 Route de Brassy,47.3534461,3.9372232,+33 6 99 07 75 31,chezsophiedemarigny@gmail.com,https://chez-sophie.fr,Treehouse hotel archetype strongly suggests mature trees on-site and an outdoor-adventure positioning that attracts active families and climbers; Tier A suggests budget capacity and premium positioning aligned with rope-net appeal.,osm,osm:node/13192550739
85,Les Cabanes d’Isa,treehouse_hotel,A,9.0,12.60,,,17 Rue d'Elan,48.8666161,1.7423313,,contact@lescabanesdisa-78.fr,https://www.lescabanesdisa-78.fr/,"Treehouse-specific name ('Cabanes') with Tier A positioning strongly indicates mature trees, existing climbing infrastructure, adventure-focused audience, and premium budget.",osm,osm:node/13295100097
86,Le Gîte du Château,treehouse_hotel,A,9.0,12.60,,,,47.4572119,4.6629748,,,https://www.gites-de-france.com/fr/bourgogne-franche-comte/cote-dor/le-gite-du-chateau-h21g030619?utm_campaign=le-gite-du-chateau,"Treehouse-themed hospitality venue with high adventure positioning, likely mature trees on-site, premium pricing model supports $5k investment, and audience already values aerial/climbing experiences.",osm,osm:node/13637605360
87,L'Écurie d'Emma,treehouse_hotel,A,9.0,12.60,,,,48.5919196,3.0748563,,,https://www.l-ecurie-d-emma.com/,"Adventure-focused treehouse-style accommodation with established outdoor infrastructure, tree assets, premium operator budget, and clientele aligned with climbing/rope activities.",osm,osm:node/13650652921
88,Ecocabane,treehouse_hotel,A,9.0,12.60,Marcoussis,91460,13 Rue de la Roche Garnier,48.6417573,2.23833,,,http://ecocabane.net,Ecocabane explicitly signals eco/nature focus with mature trees likely on-site; treehouse-hotel archetype indicates adventure clientele and discretionary budget; near Paris in Marcoussis.,osm,osm:way/146094985
89,Camping les Oseraies Cocquerel,treehouse_hotel,A,9.0,12.60,,,,50.0406233,1.9712238,,,http://www.camping-loisir-somme.com/,Tier A camping facility with chalet accommodation explicitly targets families and outdoor enthusiasts; established grounds with high likelihood of mature trees perfect for rope-net anchors.,osm,osm:way/1280955729
90,Camping du Lac de Panthier,treehouse_hotel,A,9.0,12.60,Vandenesse-en-Auxois,21320,1 Chemin du Lac,47.236121,4.6254319,+33 3 80 49 21 94,info@lac-de-panthier.com,https://www.lac-de-panthier.com/,"4-star lakeside campground in Auxois indicates premium positioning, family-oriented audience, long-term land control, and substantial wooded grounds; excellent fit for $5k aerial attraction.",osm,osm:relation/6962558
