rank,name,archetype,tier,fit_score,ranked_score,email,phone,website,commune,postcode,reasoning
11,Domaine de la Pierre Ronde,treehouse_hotel,A,9.0,12.60,domainedelapierreronde@gmail.com,+33 3 80 84 13 07,https://www.domainedelapierreronde.com,,,"Treehouse hotel with high-end positioning and outdoor focus; audience values adventure/play, owns property, likely has mature trees and discretionary budget."
12,La Rabelière,treehouse_hotel,A,9.0,12.60,contact@rabeliere.com,,https://rabeliere.com,Ambillou,37340,"Treehouse hotel with outdoor adventure focus; premium positioning, family-friendly audience seeking active play, owned long-term property, mature trees likely."
13,Le clos du Trait,treehouse_hotel,A,9.0,12.60,martineragot@wanadoo.fr,+33 6 17 83 38 18,https://www.grandsgites.com/gite-89-clos-trait-2270.htm,,,"4-star treehouse hotel suggests premium operation with mature trees, high-end guest expectations, and clear budget for experiential outdoor installations; excellent audience match for rope-net features."
14,Cabanes des grands Chênes,treehouse_hotel,A,9.0,12.60,reservation@cabanesdesgrandschenes.com,+33 3 44 58 39 08,https://www.cabanesdesgrandschenes.com/,Raray,60810,'Cabanes des grands Chênes' (cabins of great oaks) explicitly indicates mature oak trees on-site; wilderness-hut positioning and treehouse archetype perfectly align with rope-net needs.
15,Chez Sophie,treehouse_hotel,A,9.0,12.60,chezsophiedemarigny@gmail.com,+33 6 99 07 75 31,https://chez-sophie.fr,Marigny-l'Église,58140,Treehouse hotel archetype strongly suggests mature trees on-site and an outdoor-adventure positioning that attracts active families and climbers; Tier A suggests budget capacity and premium positioning aligned with rope-net appeal.
16,Les Cabanes d’Isa,treehouse_hotel,A,9.0,12.60,contact@lescabanesdisa-78.fr,,https://www.lescabanesdisa-78.fr/,,,"Treehouse-specific name ('Cabanes') with Tier A positioning strongly indicates mature trees, existing climbing infrastructure, adventure-focused audience, and premium budget."
17,Camping du Lac de Panthier,treehouse_hotel,A,9.0,12.60,info@lac-de-panthier.com,+33 3 80 49 21 94,https://www.lac-de-panthier.com/,Vandenesse-en-Auxois,21320,"4-star lakeside campground in Auxois indicates premium positioning, family-oriented audience, long-term land control, and substantial wooded grounds; excellent fit for $5k aerial attraction."
18,TinyBy,treehouse_hotel,A,8.0,11.20,TinyByThomery@gmail.com,+33 6 12 23 77 79,https://www.tinybythomery.com/,Thomery,77810,Treehouse hotel explicitly indicates mature trees and premium positioning; guests already seek elevated outdoor experiences. High likelihood of budget and long-term control.
19,Parcours Aventure,accrobranche,A,8.0,11.20,contact@aventure-aventure.com,+33971285090,https://www.aventure-aventure.com/,Bailly-Romainvilliers,77700,"Parcours Aventure is a tier-A accrobranche with existing climbing infrastructure, adventure-seeking audience, and operational budget; strong synergy with rope-net installation."
20,Camping Château de Chanteloup,camping,A,8.0,11.20,contact@chateaudechsnteloup.com,+33243275107,https://www.chateaudechsnteloup.com,Sillé-le-Philippe,72460,"5-star château camping near Sillé-le-Philippe suggests premium grounds, family/leisure audience with higher spend, and likely mature trees. Premium tier and historic setting favor discretionary amenities."
21,Heliomonde,camping,A,8.0,11.20,camping@heliomonde.fr,+33 1 64 56 61 37,https://www.heliomonde.fr/,Saint-Chéron,91530,"47-hectare naturist camping village explicitly set in classified wooded area with family focus; excellent space control, mature trees confirmed, and family audience with adventure/wellness values."
22,Le Clos des Cordeliers,treehouse_hotel,A,8.0,11.20,leclosdescordeliers@gmail.com,+33 6 07 15 58 99,http://www.chambres-hotes-sezanne.fr/,Sézanne,51120,Treehouse-hotel archetype strongly suggests existing tree infrastructure and outdoor adventure positioning. Premium tier signals discretionary budget; likely has mature trees and climbing-adjacent audience.
23,L’Étang – Base de loisirs,childrens_center,A,8.0,11.20,contact@letangbasedeloisirs.fr,+33763364321,https://www.letangbasedeloisirs.fr,,,Leisure base with playground archetype suggests family audience and outdoor space ownership; likely has mature trees and established budget for play infrastructure.
24,Moulin de Farault,treehouse_hotel,A,8.0,11.20,contact@farault.fr,,http://www.farault.fr,Aulnay-la-Rivière,45390,Treehouse hotel archetype indicates existing aerial/climbing infrastructure and mature trees on-site; audience values nature/adventure and operator likely has discretionary budget for premium experiences.
25,Terrain de camping naturiste Les Bogues,camping,A,8.0,11.20,joieetsante45@gmail.com,+33 6 74 26 92 15,https://lesboguesnaturistes.fr,Saint Cyr en Val France,45590,Explicitly described as 'boisé' (wooded) with charm and calm atmosphere; naturally attracts outdoor-focused visitors. Tier-A operator with likely $5k budget and on-site trees make this an excellent fit.
26,La Maison du Renard,treehouse_hotel,A,8.0,11.20,lamaisondurenard@telenet.be,+32 498 11 62 52,https://www.lamaisondurenard.be,Bohan sur Semois,5550,Treehouse hotel explicitly indicates existing trees and adventure-focused audience. Premium positioning and established operator likely have $5k budget; strong alignment with rope-net appeal to guests seeking immersive outdoor experiences.
27,Camping Le Bois des Forges,camping,A,8.0,11.20,cstouraine@sfr.fr,+33 2 34 37 66 26,http://cstouraine.fr/,Cléré-les-Pins,37340,"2-star camping on 8-hectare wooded site near Tours with confirmed trees, family audience, 50-year operation suggesting stable budget, and long-term land control; excellent rope-net fit."
28,Gîte de La Chevrie,treehouse_hotel,A,8.0,11.20,gitelachevrie@gmail.com,,http://gitelachevrie.wixsite.com/gitelachevrie,Doue,77510,Treehouse hotel explicitly suggests mature trees on-site for anchoring; family-oriented leisure positioning and discretionary budget align well with rope-net installations.
29,Club Gymnique de France,camping,A,8.0,11.20,cgf-fgc@wanadoo.fr,+33 1 45 69 84 84,https://www.cgf-nat.com,Villecresnes,94440,"13-hectare woodland facility with family-oriented naturist community, strong outdoor recreation focus, and established infrastructure suggesting good budget and long-term control."
30,Club du Soleil de l'Essonne,camping,A,8.0,11.20,contact@csessonne.org,+33685315592,https://csessonne.org/,D'Huison-Longueville,91590,"Naturist family campground in a 7-hectare forest 50km south of Paris—strong match for mature trees (anchor points), outdoor-active audience, and likely discretionary budget."
31,Le Rivage,treehouse_hotel,A,8.0,11.20,pascalerives2@gmail.com,+336 30 35 05 18,https://lerivage-loiret.fr/,Saint-Père-sur-Loire,45600,"3-star treehouse-style chalet on Loire river implies mature trees, adventure-focused positioning, and affluent guests; excellent audience and infrastructure alignment."
32,Domaine de Toussacq,treehouse_hotel,A,8.0,11.20,domainedetoussacq@outlook.fr,,www.domainedetoussacq.com,Villenauxe-la-Petite,77480,Treehouse hotel archetype strongly suggests mature trees on-site and high-budget clientele comfortable with arboreal experiences; excellent product alignment.
33,Manoir Saint Joseph,treehouse_hotel,A,8.0,11.20,contact@manoirsaintjoseph.fr,+33775793375,https://www.manoirsaintjoseph.fr,Sens,89100,Treehouse hotel concept strongly suggests mature trees on-site and premium clientele seeking adventure experiences; excellent alignment with rope-net installation aesthetic and budget capacity.
34,La Ferme du Lac,leisure_park,A,8.0,11.20,contact@laccaniel.com,+33 2 35 97 40 55,http://lacdecaniel.com/,,,Theme/leisure park already positions for family entertainment and has discretionary budget; outdoor space and potential existing climbing infrastructure make this a strong fit.
35,Fontaineblhostel Camping,camping,A,8.0,11.20,contact@fontaineblhostel.com,+33 1 78 90 12 90,https://www.fontaineblhostel.com/,,,Camping site in Fontainebleau region almost certainly has mature trees and family-oriented clientele; strong discretionary budget and outdoor space control make this an excellent fit.
36,Escale Des Châteaux de la Loire,camping,A,8.0,11.20,info@escale-chateaux-loire.fr,+33 2 54 32 58 21,https://www.escale-chateaux-loire.fr,Angé,41400,"4-star Loire Valley camping with strong family positioning, regional tourism appeal, and likely budget capacity for $5k installation. Mature parkland trees probable in Loire setting."
37,Détente des Étoiles,treehouse_hotel,A,8.0,11.20,contact@detente-des-etoiles.fr,+33 2 48 51 86 55,https://detente-des-etoiles.fr/,,,Treehouse hotel explicitly indicates mature tree infrastructure and adventure-seeking clientele; likely premium pricing supports $5k investment; strong fit for rope-net anchor points.
38,Logis de la Contrescarpe,treehouse_hotel,A,8.0,11.20,logis.de.la.contrescarpe@gmail.com,+33 9 50864567,,,,Treehouse hotel archetype strongly suggests on-site mature trees and climbing-adjacent audience; chalet tag indicates rural/outdoor positioning with likely discretionary budget for amenities and experiences.
39,Camping de Saulieu,camping,A,8.0,11.20,camping.saulieu@aquadis-loisirs.com,+33 3 80 64 16 19,,,,"3-star campground strongly suggests outdoor space, mature trees, family audience, and discretionary budget; excellent fit for rope-net installation as value-add amenity."
40,Villa Chante-Brise,treehouse_hotel,A,8.0,11.20,philippe@villachantebrise.fr,,,Sainte-Marguerite-sur-Mer,76119,Treehouse hotel implies mature trees on-site and strong audience alignment with adventure/climbing activities. Premium pricing and control of property suggest budget capacity. Excellent fit if trees are indeed present.
41,Le château de Sauchay,treehouse_hotel,A,8.0,11.20,contact@chateaudesauchay.com,,https://www.chateaudesauchay.com,Sauchay,76630,Treehouse hotel with likely mature trees on-site and an audience seeking adventure/outdoor experience; strong discretionary budget positioning and long-term asset control align well with the installation.
42,Kizou Aventures,leisure_park,A,8.0,11.20,tours@kizouaventures.fr,+33 2 47 51 60 80,https://tours.kizou.fr,,,Kizou Aventures name suggests adventure/climbing focus; A-tier leisure park with family audience and likely outdoor climbing infrastructure or trees.
43,Family Park,leisure_park,A,8.0,11.20,familly.park45@gmail.com,+33 6 87 40 60 72,https://famillypark45.fr/,,,"Theme park archetype (tier A, tourism) with strong likelihood of mature trees, family/adventure audiences, and discretionary budget for attractions; outdoor focus and scale align well."
44,Gîte Le Vitard,treehouse_hotel,A,8.0,11.20,gitelevitard@laposte.net,+33615875988,,,,3-star Tier A treehouse property suggests quality rural accommodation with established outdoor infrastructure; premium rating indicates discretionary budget and family audience.
45,Le Glandier,treehouse_hotel,A,8.0,11.20,contact@leglandier.com,+332 54 76 60 00,https://www.leglandier.com/,,,Treehouse hotel with evocative name ('Le Glandier' suggests oak trees); likely mature trees and audience seeking outdoor adventure experiences.
46,Maison de Fer,treehouse_hotel,A,8.0,11.20,gites@parc-naturel-chevreuse.fr,,https://www.parc-naturel-chevreuse.fr/la-maison-de-fer,Dampierre-en-Yvelines,78720,"Tier A treehouse chalet near Dampierre-en-Yvelines (premium region, near Château de Versailles surroundings) with heritage name suggests high-value property with mature trees and affluent clientele. Strong budget and outdoor-amenity alignment."
47,Gîte de la montjoie,treehouse_hotel,A,8.0,11.20,lamontjoiegite45@gmail.com,+33 6 32 28 27 56,https://5d77bbf3922dd.site123.me/,Saint-Denis-en-Val,45560,Treehouse hotel archetype strongly suggests mature trees on-site and an audience valuing adventure/nature; likely has discretionary budget for experiential amenities.
48,Agnès et Francis Triquet,treehouse_hotel,A,8.0,11.20,francis.triquet13@orange.fr,+33 6 89 29 11 45,https://www.entreloireetcanal.fr/,Combleux,45800,Treehouse hotel in Combleux indicates mature trees and adventure-oriented clientele; premium positioning suggests budget for rope-net feature as differentiator.
49,Gite des Malins prés,treehouse_hotel,A,8.0,11.20,lesmalinspres@gmail.com,,http://lesmalinspres.fr/index.php?page=accueil,,,3-star treehouse gite explicitly matches archetype and likely has mature trees; premium rating suggests budget and audience fit for rope-net installation.
50,L'îlot au Bonheur,treehouse_hotel,A,8.0,11.20,ilotbonheur@gmail.com,+33 6 83 18 54 72,http://ilot-bonheur.com/,,,"Treehouse hotel ('L'îlot au Bonheur') implies mature trees, nature-focused branding, and premium leisure operator with discretionary budget capacity."
51,L'Escale Bellifontaine,treehouse_hotel,A,8.0,11.20,escalebellifontaine@gmail.com,+33 6 16 84 07 94,https://escalebellifontaine.fr/,,,"Treehouse hotel suggests established outdoor infrastructure, mature trees, and guests seeking adventure-oriented stays; strong budget positioning evident."
52,La Martinière,treehouse_hotel,A,8.0,11.20,lamartiniere77@free.fr,+33 6 08 99 34 09,http://www.gite77ury.com,,,Treehouse hotel archetype indicates mature trees and premium outdoor positioning; established operator with likely long-term land control.
53,Ferme des Olé-Ânes,treehouse_hotel,A,8.0,11.20,coerrance@riseup.net,,https://alternatives-agriculturelles.fr/oleanes/,Mâlain,21410,Treehouse hotel in rural Mâlain suggests established outdoor grounds with mature trees and family-oriented positioning; rural setting with chalet model indicates long-term land control and budget capacity for amenity upgrades.
54,Les refuges des Catières,treehouse_hotel,A,8.0,11.20,David.stepien@orange.fr,+33 6 89 55 87 80,https://www.amancevilleaubois.fr/accueil.php?a=page404001/Les-refuges-des-Catieres,Amance,,Treehouse hotel archetype in identified commune (Amance) with tier-A status strongly indicates mature trees and family-adventure audience. Premium positioning supports equipment investment.
55,Les Maisons Maquets,treehouse_hotel,A,8.0,11.20,lesmaisonsmaquets@orange.fr,+33 3 23 69 83 32,https://www.maisonsmaquets.fr/,Rozoy-Bellevalle,02540,Tier-A treehouse hotel in Rozoy-Bellevalle with 'Maisons' (houses) naming suggests multiple structures and mature grounds. Adventure/nature audience and premium budget likely.
56,Utopias Campus,treehouse_hotel,A,8.0,11.20,contact@utopias-campus.com,+33 6 65 59 68 49,https://www.utopias-campus.com/,Chaignes,27120,"Campus-style venue (Utopias) in treehouse-hotel tier suggests educational/group operations with outdoor space and values-driven positioning. Rural Chaignes location and 'campus' framing indicate trees, long-term control, and budget for play infrastructure."
57,Gîte du Port Guyet,treehouse_hotel,A,8.0,11.20,giteduportguyet@gmail.com,+33 6 10 85 30 08,https://www.giteduportguyet.com/,,,"3-star rated gîte in treehouse-hotel tier with port/waterfront setting ('Port Guyet') implies premium rural venue with trees, established customer base with discretionary income, and outdoor appeal."
58,Gîte les Bruyères - Saint Laurent,treehouse_hotel,A,8.0,11.20,marceline.hardouin@gmail.com,+33 2 35 87 13 29,https://www.gites-de-france.com/fr/normandie/eure/les-bruyeres-27g411,Corneville sur Risle,27500,Treehouse-hotel gîte in Corneville-sur-Risle with countryside location; 'Bruyères' (heather) suggests natural landscape with likely mature trees.
59,Gîte Le Tournesac,treehouse_hotel,A,8.0,11.20,simonevylray@gmail.com,+33 6 68 12 97 79,https://www.giteletournesac.fr/,Saint-Didier,21210,"Treehouse hotel archetype with Tier A positioning indicates mature trees, adventure-focused audience, and likely budget capacity; rural location suggests owned outdoor space."
60,Au Petit Vivoin,treehouse_hotel,A,8.0,11.20,contact@giteaupetitvivoin.fr,+33 2 43 97 00 05,https://www.giteaupetitvivoin.fr/,Vivoin,72170,Treehouse hotel with Tier A positioning in named commune suggests established rural venue with trees and adventure focus; likely owned space and discretionary budget.
61,La Briqueterie,treehouse_hotel,A,8.0,11.20,labriqueterie51@gmail.com,+336 89 96 60 56,https://www.airbnb.fr/rooms/811250047572754770?_set_bev_on_new_domain=1767594864_EAZjY5NzNjODlkNj&set_everest_cookie_on_new_domain=1767594864.EAZmYyZmM5MjkzZWUwOW.Yo-D9HynP4Ab6XM-9BuuDF6FINiIs7I4rT3FjsHBW0I&source_impression_id=p3_1767594865_P3pE4AjoG7ggl,,,Treehouse hotel archetype suggests mature trees and outdoor infrastructure; Tier A positioning indicates premium budget and likely adventure-focused family audience.
62,Les Oiseaux du Cèdre,treehouse_hotel,A,8.0,11.20,anne@cedre-et-charme.fr,+33 6 32 15 19 31,https://cedre-et-charme.fr/gite-les-oiseaux-du-cedre/,,,Cedar-themed treehouse hotel indicates mature tree infrastructure on-site; premium tier positioning and nature-focused branding align perfectly with rope-net installation audience.
63,L'Escale Arcen-Ciel,treehouse_hotel,A,8.0,11.20,infos@escale-arcenciel.com,,https://escale-arcenciel.com,Les Hayes,41800,Treehouse hotel in rural Les Hayes indicates mature trees and adventure-seeking guests; name suggests nature-focused positioning and long-term ownership.
64,Gîte La Tuilerie,treehouse_hotel,A,8.0,11.20,val@espace-tuilerie.com,+33 2 38 31 90 96,https://www.espace-tuilerie.com/,,,"Tier A treehouse hotel strongly indicates mature trees, family/adventure audience, and budget capacity for ancillary outdoor attractions like aerial rope nets."
65,Les Villas du Parc en Bourgogne,treehouse_hotel,A,8.0,11.20,lesvillasduparcenbourgogne@orange.fr,+33 6 82398305,https://www.lesvillasduparcenbourgogne.com/,,,Tier A treehouse hotel with 'Parc' explicitly suggesting parkland with mature trees; Bourgogne location implies rural grounds suitable for aerial rope-net installation.
66,Parc Évasion Curley,accrobranche,A,7.0,9.80,contact@parc-evasion.com,,https://www.parc-evasion.com/curley/,,,"Parc Évasion Curley offers climbing-adventure among other activities (accrobranche, paintball, archery), indicating trees, active-play audience, and established operator budget."
67,Kidy Land,leisure_park,A,7.0,9.80,contact@kidyland.fr,+33 2 38 61 06 34,http://www.kidyland.fr/le-parc.php,Fleury-les-Aubrais,45400,Theme park (Kidy Land) serves families and kids; operates on controlled grounds likely with trees; has discretionary budget for attractions.
68,Île de loisirs de Cergy-Pontoise,leisure_park,A,7.0,9.80,reservation@xtremaventures.fr,08 20 00 04 07,https://www.xtremaventures-cergy.fr,,,"Large leisure park with theme-park positioning and family audience; likely outdoor space and discretionary budget, but unclear if mature trees or existing infrastructure on-site."
69,L'ïle du Roi,camping,A,7.0,9.80,contact@pariscamping.paris,+33 1 39 75 87 88,https://campingileduroi.fr/,Triel-sur-Seine,78510,"Riverside camping in Triel-sur-Seine suggests outdoor grounds and family audience; Seine-side locations often have mature trees. 1-star limits budget confidence, but campings can support amenities."
70,Camping à la ferme,camping,A,7.0,9.80,coutel.tourisme@gmail.com,+33 3 24 71 44 19,http://www.coutel.com,,,"Farm-based camping ('à la ferme') typically features mature trees, rural land, and outdoor-adventure families; strong alignment with installation goals."
71,Camping à la Ferme de la Mercy,camping,A,7.0,9.80,fermedelamercy@wanadoo.fr,+33 1 64 00 93 10,https://www.ferme-delamercy.com/contact,CHENOISE,77160,Farm-based campsite suggests rural setting with likely trees and family-oriented audience; small operator but 'à la Ferme' positioning indicates some amenity investment capability.
72,Camping Municipal de L’aulnaie,camping,A,7.0,9.80,contact@campingdelaulnaie.com,+33 2 32 55 43 42,https://www.campingdelaulnaie.com,Dangu,27720,"Municipal 3-star campsite with established facilities suggests outdoor space, families, and potential budget; public ownership may complicate procurement but parks often have discretionary programming budgets."
73,Grange du Leuzeu,treehouse_hotel,A,7.0,9.80,asshipaf@gmail.com,,https://www.leuzeu.fr/,,,"Treehouse/wilderness hut venue suggests existing tree infrastructure and adventure-oriented audience; name and archetype align with aerial installations, though budget and permanent setup clarity needed."
74,La ferme des 4 Etoiles,camping,A,7.0,9.80,jbgalloo@les4etoiles.net,+33 9 82 54 14 69,http://les4etoiles.free.fr/,Auffargis,78610,"Farm camping near Paris with animals and rustic positioning suggests mature pastoral setting with trees, family audience, and operator open to unique amenities; good fit if within budget reach."
75,Parc des Cygnes,camping,A,7.0,9.80,alban@parcdescygnes.com,+33 3 22 43 29 28,,,,"4-star campsite suggests premium positioning, discretionary budget, and family-oriented audience; camping parks often have mature trees; good fit if outdoor space permits."
76,Gîte Simone de Beauvoir,treehouse_hotel,A,7.0,9.80,reservation@tourisme-hautemarne.com,+33 3 25 30 39 08,https://www.gites-de-france.com/fr/grand-est/haute-marne/gite-simone-de-beauvoir-h52g011441,,,Treehouse-themed gîte suggests existing tree infrastructure and adventure-focused positioning; archetype and name strongly indicate trees and discretionary budget for experience add-ons.
77,Les Étangs Fleuris,camping,A,7.0,9.80,contact@etangs-fleuris.com,,https://etangsfleuris.com/,,,"3-star campground indicates premium positioning, operational maturity, and discretionary budget; family-oriented with likely tree cover."
78,Camping Le Bois des Elfes,camping,A,7.0,9.80,lesboisdeselfes@gmail.com,+33 7 56 86 97 58,https://www.leboisdeselfes.net,Fay-Aux-Loges,45450,"Name explicitly references forest (""Bois des Elfes""); family campground with tree infrastructure and active play orientation fits well."
79,La maison du campeur,camping,A,7.0,9.80,campingmunicipal-veulettes-sur-mer@orange.fr,+33 2 35 97 53 44,https://www.seine-maritime-tourisme.com/diffusio/fr/je-choisis/un-hebergement/campings/veulettes-sur-mer/camping-municipal-la-maison-du-campeur_TFOHPANOR076FS0004T.php,Veulettes-sur-Mer,76450,3-star campground attracts leisure families and has demonstrated investment in amenities; rural/coastal location likely includes mature trees and discretionary budget.
80,Les Pommiers,camping,A,7.0,9.80,contact@campinglespommiers.fr,+33 2 35 97 62 12,https://www.campinglespommiers.fr,Sotteville-sur-Mer,76740,"Named 'Les Pommiers' (The Apple Trees), strongly suggesting on-site mature trees. 3-star campsite with family audience and discretionary budget for amenities fits the profile well."
81,Camping Léry-Poses,camping,A,7.0,9.80,camping.smb@hotmail.fr,+33 2 32 59 11 86,http://www.lery-poses.fr/hebergement-restauration/camping,Poses,27740,3-star campground with family-oriented clientele and outdoor grounds; higher star rating suggests better operator budget and amenity vision than competitors.
82,Camping Les Patures,camping,A,7.0,9.80,camping@checy.fr,+33 2 38 91 13 27,https://www.checy.fr/camping/,Chécy,,2-star family campground in Chécy with typical outdoor recreation audience. Tier-A operator with reasonable budget; camping venues commonly feature trees.
83,Camping de la Maltournée,camping,A,7.0,9.80,contact@camping-chateauneufsurloire.com,+33 2 38 58 42 46,https://www.lamaltournee.fr/,Châteauneuf-sur-Loire,45110,3-star family campground near Loire Valley with established amenities and likely mature trees. Outdoor audience and tier-A operator budget align well with installation needs.
84,Le Clos Normand,camping,A,7.0,9.80,campingdesees@orange.fr,+33 2 33 28 87 37,https://www.camping-sees.fr/,,,3-star camping indicates established operator with budget capacity and family audience. Rural French campgrounds typically feature wooded grounds suitable for aerial installations.
85,Les Acacias,camping,A,7.0,9.80,contact@camplvad.com,+33 2 47 44 08 16,https://www.camping-tours.fr/,La Ville-aux-Dames,37700,"3-star camping in Loire valley region near Tours; strong family appeal, likely mature trees, and solid operator standing suggests realistic budget headroom."
86,Camping La Chênaie,camping,A,7.0,9.80,contact.camping.laon@gmail.com,+33 3 23 20 25 56,https://www.camping-laon.com,,,"3-star camping with likely mature grounds, family-oriented clientele, discretionary budget, and long-term control; strong match if trees present on-site."
87,Fredland,camping,A,7.0,9.80,fredland@capfun.com,+33 1 64 07 96 44,https://www.capfun.com/camping-france-ile_de_france-fredland-FR.html,Tournan-en-Brie,77220,"4-star camping near Paris (Tournan-en-Brie) with premium positioning, family audience, strong budget capacity, and long-term land control; excellent fit if trees present."
88,4 Vents,camping,A,7.0,9.80,contact@caravaning-4vents.fr,+33 1 64 07 41 11,https://www.caravaning-4vents.fr/,Crèvecœur-en-Brie,77610,3-star camping with family audience; likely has outdoor space and trees typical of rural campsites; good budget profile for paid adventure upgrades.
89,Camping d'Etennemare,camping,A,7.0,9.80,contact@camping-etennemare.com,+33 2 35 97 15 79,https://vacances-seasonova.com/fr/camping/camping-etennemare,Vittefleur,76460,"3-star private campground with family audience, likely mature trees, and operator budget; strong fit for outdoor rope-net installation in established leisure venue."
90,Camping Au Bord de l'Aisne,camping,A,7.0,9.80,campingguignicourt@orange.fr,+33 3 23 79 74 58,https://camping-aisne-picardie.fr/,,,4-star camping indicates premium positioning and stronger discretionary budget. Waterside location (Aisne) suggests natural setting with trees; family-friendly operator with owned space is good fit.
91,Camping Le Mont Joli-Bois,camping,A,7.0,9.80,camping.criel@wanadoo.fr,+33 235 508119;+33 629 696041,https://camping-lemontjolibois.com/,Criel sur Mer,,"3-star seaside campground near Criel-sur-Mer with family demographic and outdoor focus; coastal areas often have scattered trees, and established campgrounds have budget flexibility for amenities."
92,Camping Les Mouettes,camping,A,7.0,9.80,contact@camping-lesmouettes.fr,+33 235 867073,https://camping-lesmouettes.fr/,Criel-sur-Mer,76910,3-star coastal campground with family audience and outdoor infrastructure; similar profile to Le Mont Joli-Bois with reasonable budget likelihood.
93,Les chalets du Val de Braye,treehouse_hotel,A,7.0,9.80,chalets.val.de.braye@orange.fr,+33 2 43 71 67 07,https://www.chaletsduvaldebraye.fr/,,,Treehouse-oriented accommodation strongly suggests on-site mature trees and audience interested in elevated/nature-based experiences; good budget potential for premium positioning.
94,Le Malaga,camping,A,7.0,9.80,lemalaga@laposte.net,+337 86 21 85 98,https://www.camping-pouillysurloire.fr/,,,"3-star campsite appeals to families and active visitors with outdoor budgets; camping archetype suggests open grounds and likely trees, though no explicit confirmation of mature anchor points."
95,Camping des Îles,camping,A,7.0,9.80,contact@camping-yonne.fr,+33 386 632 258,http://camping-yonne.fr/,,,3-star campsite with 'Îles' (islands) name suggests water features and likely wooded grounds; established operator with budget and family audience.
96,Gite vezelay.eu,treehouse_hotel,A,7.0,9.80,info@vezelay.eu,,https://www.vezelay.eu/,Saint-Père,89450,Treehouse-hotel archetype with chalet tags in Vézelay; nature-focused gîte with likely discretionary budget and family clientele. Saint-Père location in scenic region supports active outdoor recreation interest.
97,Camping Abijune,camping,A,7.0,9.80,contact@camping-abijune.com,+33 2 27 43 42 91,https://www.camping-abijune.com/,Le Tilleul,76790,"2-star campground in rural Normandy (Le Tilleul) with family audience, likely mature grounds and trees, and established budget model. Outdoor recreation focus and tier-A status suggest good fit; children's activity installations align with campground offerings."
98,Le castel de la terrasse,treehouse_hotel,A,7.0,9.80,contact@casteldelaterrasse.com,,https://www.casteldelaterrasse.com/,Étretat,76790,Treehouse-hotel chalet in Étretat (scenic coastal region) with likely premium budget and family/adventure audience. Grounds typical of quality country accommodations; good potential for rope-net complementing existing outdoor experience.
