Name,Role,Org(s),Our excitement level,Their excitement,Help,Needs,Next steps,Vision buy-in / understanding,FSA research bucket,Aspirational FSA role,Slack?,Next step owner
Dylan Hadfield-Menell,"Professor, Researcher",MIT,🔥🔥🔥,,❓,,,Adjacent,,,No,
Chris Summerfield,"Professor, Researcher",Deepmind,🔥🔥🔥,,❓,,Joe / Ryan reach out,Unsure,"(m1) supernegotiator, (m2) public resource regulator",PI,No,"Ryan Lowe, Joe Edelman"
Vincent Wang-Mascianica,Researcher,University of Oxford,🔥,🥞,❓,,,Adjacent,(m4) allied assistant,,Yes,
Julian Jara-Ettinger,Researcher,Yale University,🔥🔥🔥,🥞,❓,,,Find out,,,Yes,
Bryce Goodman,Researcher,University of Oxford,🔥,🥞,❓,,,Early,(m4) allied assistant,,Yes,
Wes Holliday,"Professor, Researcher",UC Berkeley,🔥,🥞🥞,❓,,,Unsure,,,Yes,
Ivan Vendrov,"Influencer, Researcher",Cosmos Institute,🔥,🥞,❓,,Ask if he wants to be a writer for us,Early,,,Yes,
Andreas Haupt,Researcher,Stanford University,🔥🔥,🥞🥞,❓,,,Unsure,,,Yes,
Matija Franklin,Researcher,Deepmind,🔥🔥,🥞🥞🥞,❓,,,Find out,(f1) human-data pipeline,"Amb, Steering",Yes,
Smitha Milli,Researcher,Meta,🔥🔥🔥,🥞🥞,🔒,Spreading her work,,Adjacent,(f1) human-data pipeline,Steering,Yes,
Davidad,"Executive, Influencer, Researcher",ARIA,🔥🔥,🥞,🔒,,,Adjacent,,,Yes,
Michiel Bakker,"Professor, Researcher","Deepmind, MIT",🔥🔥,🥞🥞,🔒,,,Adjacent,"(m1) supernegotiator, (m2) public resource regulator",,Yes,
Roberto Rafael Maura Rivero,Researcher,,,🥞🥞🥞,,,,,,,No,
Paul de Font-Reaulx,Researcher,,,🥞🥞🥞,,,,,,Amb,No,
Max Kroner Dale,Researcher,,,🥞🥞🥞,,,,,,Amb,No,
Daniel Kilov,Researcher,,,🥞🥞🥞,,,,,,"Amb, Steering",No,
Jared Moore,Researcher,Stanford University,,🥞,,,,,,,Yes,
Rakshit Trivedi,Researcher,,🔥,🥞🥞,,,,Adjacent,(f2) normative adaptation,,Yes,
Raymond Douglas,Researcher,,🔥,🥞,,,,,,,Yes,
Jan Kulveit,Researcher,,🔥,🥞,,,,,,,Yes,
Nenad Tomasev,Researcher,Deepmind,🔥🔥,🥞🥞🥞,,,,Unsure,(m3) market intermediaries,Steering,Yes,
Harvey Lederman,"Professor, Researcher",UT Austin,🔥🔥,🥞,,,,Adjacent,(m0) Full-Stack Social Theory & Revolution,,Yes,
Nick Caputo,Researcher,Oxford Martin AI Governance Initiative,🔥🔥,🥞🥞🥞,,,,Adjacent,(m2) public resource regulator,Steering,Yes,
Noam Kolt,"Professor, Researcher",Hebrew University,🔥🔥,🥞🥞🥞,,,,Bought in,(m2) public resource regulator,,Yes,
Martin Wahlisch,"Professor, Researcher",University of Birmingham,🔥🔥,,,,,,(m1) supernegotiator,,No,Ryan Lowe
Noam Brown,Researcher,OpenAI,🔥🔥🔥,,,,Invite to supeneg workshop,,(m1) supernegotiator,,No,Ryan Lowe
Jonathan Gray,Researcher,Anthropic,🔥🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe
Bowen Baker,Researcher,OpenAI,🔥🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe
Sonja Kraiczy,Researcher,Northwestern University,🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe
Edith Elkind,"Professor, Researcher",Northwestern University,🔥🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe
Allan Dafoe,"Executive, Policy, Professor, Researcher",Deepmind,,,,,,,,,No,
,Researcher,,,,,,,,,,No,
David Krueger,"Funder-Confidant, Professor, Researcher",Mila,,,,,,,,,No,
Jan Leike,"Funder-Confidant, Researcher",Anthropic,,,,,,,,,No,
Ariel Procaccia,"Professor, Researcher",Harvard University,🔥🔥🔥🔥,,,,,Adjacent,,,No,
Colleen McKenzie,"Executive, Researcher",AOI,,,,,,,,,No,
Hannah Rose Kirk,Researcher,"UK AISI, University of Oxford",,,,,,,,,No,
Cody Kommers,Researcher,Alan Turing Institute,🔥,🥞🥞,,,,Adjacent,,,No,
Joel Leibo,Researcher,Deepmind,🔥,,,,,,,,No,
Zoe Hitzig,Researcher,OpenAI,🔥,,,,,,,,No,
Shibani Santurkar,Researcher,OpenAI,🔥,,,,,,,,No,
Pamela Mishkin,Researcher,OpenAI,,,,,,,,,No,
Tyna Eloundou,Researcher,OpenAI,,,,,,,,,No,
Miles Brundage,"Influencer, Researcher",,,,,,,,,,No,
Glen Weyl,"Professor, Researcher",,,,,,,,,,No,
Divya Siddarth,"Influencer, Researcher",CIP,,,,,,,,,No,
Alex Tamkin,Researcher,Anthropic,🔥,,,,,Find out,(f1) human-data pipeline,,No,
Saffron Huang,Researcher,Anthropic,🔥🔥,,,,Joe reach out for call,Find out,(f1) human-data pipeline,First author,No,Joe Edelman
Amanda Askell,Researcher,Anthropic,🔥🔥🔥🔥,,,,,Unsure,(m4) allied assistant,,No,
Seth Lazar,"Professor, Researcher","Deepmind, Johns Hopkins",🔥🔥,🥞,,,,Unsure,(f2) normative adaptation,"Lieutenant, Steering",No,Ryan Lowe
Joelle Pineau,"Executive, Professor, Researcher","Cohere, McGill University",🔥🔥,,,,,Early,,Advisor,No,Ryan Lowe
Diogo Schwerz de Lucena,Researcher,AE Studio,,,,,,,,,No,
Cameron Berg,Researcher,AE Studio,,,,,,,,,No,
Marc Carauleanu,Researcher,AE Studio,,,,,,,(f1) human-data pipeline,,No,
Marcus Pivato,"Professor, Researcher",Université Paris 1 Panthéon-Sorbonne,,🥞🥞,,,,,,,No,
Taylor Sorensen,Researcher,,,🥞🥞🥞,,,,,,Amb,No,
Tobias Werner,Researcher,,🔥,🥞,,,,Adjacent,(m3) market intermediaries,,Yes,
Serena Booth,"Professor, Researcher",Brown University,🔥,,,,,Unsure,,,Yes,
Samuele Marro,Researcher,University of Oxford,,,,,,,,,Yes,
Sean Moss,Researcher,University of Oxford,,,,,,,,,Yes,
"Micah Caroll ",Researcher,OpenAI,🔥🔥,,,,,Unsure,,,Yes,
Manon Revel,Researcher,Deepmind,🔥,🥞,,,,Adjacent,,,Yes,
Logan Walls,Researcher,NYU,🔥,🥞,,,,Unsure,,,Yes,
Joseph Gubbels,Researcher,McGill University,🔥,🥞,,,,Early,,,Yes,
James WS,Researcher,,?,🥞,,,,Unsure,,,Yes,
Georgios Piliouras,"Professor, Researcher",Deepmind,🔥,,,,,Unsure,,,Yes,
Fazl Barez,Researcher,University of Oxford,🔥,🥞🥞🥞,,,,Find out,,,Yes,
David Storrs-Fox,"Professor, Researcher",University of Oxford,,,,,,,,,Yes,
Brad Knox,"Professor, Researcher",UT Austin,🔥,🥞🥞,,,,Unsure,,,Yes,
Bob Jacobs,Researcher,Ghent University,?,,,,,,,,Yes,
Benjamin Lang,Researcher,University of Oxford,,,,,,,,,Yes,
Andrew Koh,Researcher,MIT,🔥🔥,🥞,,,,Find out,,,Yes,
Laura Weidinger,Researcher,Deepmind,🔥,,,,,Unsure,,,No,
Tom Everitt,Researcher,Deepmind,🔥,,,,,Unsure,(m4) allied assistant,,Yes,
Nahema Marchal,Researcher,Deepmind,🔥🔥,,,,,Early,,,No,
MH Tessler,Researcher,Deepmind,🔥,🥞,,,,Unsure,,,Yes,
Joel Lehman,Researcher,Cosmos Institute,🔥,🥞🥞,,,,Early,"(m1) supernegotiator, (m4) allied assistant",,Yes,
James Ravi Kirkpatrick,"Professor, Researcher",University of Oxford,🔥,🥞,,,,Unsure,(m4) allied assistant,,Yes,
Oliver Klingefjord,Researcher,MAI,🔥🔥🔥🔥,🥞🥞🥞,,,,Bought in,(m3) market intermediaries,,Yes,
Ryan Lowe,Researcher,MAI,🔥🔥🔥🔥,🥞🥞🥞,,,,Bought in,,Ecosystem lead,Yes,
Joe Edelman,Researcher,MAI,🔥🔥🔥🔥,🥞🥞🥞,,,,Bought in,(m3) market intermediaries,Research lead,Yes,
