Name,Role,Org(s),Our excitement level,Their excitement,Help,Needs,Next steps,Vision buy-in / understanding,FSA research bucket,Aspirational FSA role,Slack?,Next step owner,Engagement Type,Position Class,Confidence
Sam Hammond,"Influencer, Policy, Researcher",The Foundation for American Innovation,🔥🔥🔥🔥,,😭😭,Connect with other experts,Joe reach out for COAN builder call,Adjacent,(m0) Full-Stack Social Theory & Revolution,Policy advocate,No,Joe Edelman,advisory,industry,high
Zhonghao He,Researcher,University of Cambridge,🔥,🥞🥞🥞,😭😭,Same as Tianyi,,Adjacent,(m4) allied assistant,Amb,Yes,,honorarium-commission,postdoc-or-phd,high
Jamelle WD,Researcher,Meta,🔥🔥🔥🔥,🥞🥞🥞,😭😭,To be engaged in work she finds exciting,Joe reach out,Bought in,(m0) Full-Stack Social Theory & Revolution,,Yes,,advisory,industry,high
Aviv Ovadya,"Executive, Researcher",AI and Democracy Foundation,🔥🔥,🥞🥞🥞,😭😭,More direction on ‘collective alignment’ project; talent pipeline,,Bought in,,Steering,Yes,,advisory,unknown,medium
Atrisha Sarkar,"Professor, Researcher",Western University,🔥,🥞🥞,😭😭,Not sure quite what to do; wants good students,,Unsure,,,Yes,,advisory,pre-tenure-faculty,high
Adam Morris,Researcher,Princeton University,🔥🔥,🥞🥞,😭😭,"Could be a first author, needs a mission",,Bought in,,,Yes,,honorarium-commission,postdoc-or-phd,high
David Duvenaud,"Professor, Researcher",University of Toronto,🔥🔥,🥞🥞,😭😭,More in-depth strategic thinking,"Set up a ‘field building brainstorming call’ with David, Jan K, Raymond; maybe a ‘AI alignment field builders’ signal chat?",Adjacent,,,Yes,,embedded-postdoc,tenured-faculty,high
Atoosa Kasirzadeh,"Professor, Researcher",CMU,🔥🔥,🥞🥞,😭😭,Slotted as ‘subject matter advisor’,,Adjacent,,,Yes,,advisory,pre-tenure-faculty,high
Gillian Hadfield,"Professor, Researcher",Johns Hopkins,🔥🔥🔥🔥,🥞🥞,😭😭,To be matched with great teams,,Adjacent,(m2) public resource regulator,,Yes,,buyout-or-sabbatical,tenured-faculty,high
Iason Gabriel,Researcher,Deepmind,🔥🔥🔥🔥,🥞🥞,😭😭,To feel part of a greater mission,Empower him to feel more like part of the team — make him an FSA ambassador?,Bought in,(m2) public resource regulator,"Amb, Lieutenant, Steering",Yes,,advisory,industry,high
Philipp Koralus,Researcher,University of Oxford,🔥🔥,🥞🥞,😭😭,Higher quality teams,,Bought in,(m4) allied assistant,Lieutenant,Yes,,advisory,pre-tenure-faculty,high
Harvey Lederman,Researcher,UT Austin,🔥🔥,🥞🥞,😭,Being part of a mission that he feels excited about,,,,,No,,embedded-postdoc,tenured-faculty,high
Judd Rosenblatt,Researcher,AE Studio,🔥🔥🔥,,😭,Some kind of reorg help,,Adjacent,(f1) human-data pipeline,,No,,advisory,industry,high
Ryan Kearns,Researcher,University of Oxford,🔥🔥,🥞🥞🥞,😭,Better advisors?,,Adjacent,,"Amb, Steering",Yes,,honorarium-commission,postdoc-or-phd,high
Andrew Konya,"Builder, Researcher",Remesh,🔥,🥞🥞,"🔒, 😭",Wants to be part of a mission that he believes in; maybe advice on some projects? regular call?,,Adjacent,,,Yes,,advisory,industry,high
Jakob Foerster,"Professor, Researcher",University of Oxford,🔥🔥🔥🔥,🥞🥞,😭,"Overcome by grad students, not advising the people who are most research aligned",Schedule the oxf workshop and get him going,Adjacent,(m1) supernegotiator,PI,Yes,Joe Edelman,buyout-or-sabbatical,tenured-faculty,high
Sydney Levine,"Professor, Researcher","Deepmind, NYU",🔥,🥞🥞,😭,More space to really think,,Early,(f2) normative adaptation,,Yes,,advisory,pre-tenure-faculty,high
Tan Zhi-Xuan,Researcher,"MIT, National University of Singapore",🔥🔥🔥🔥,🥞🥞🥞,😭,Peers are good,Joe reach out to update on what we’ve done,Bought in,"(f2) normative adaptation, (m2) public resource regulator","Amb, Research lead, Steering",Yes,Joe Edelman,honorarium-commission,university-researcher,high
Yonadav Shavit,Researcher,OpenAI,🔥🔥🔥,,❓,,Ryan reach out about MATS program,Find out,,Lieutenant,No,Ryan Lowe,advisory,industry,high
Dylan Hadfield-Menell,"Professor, Researcher",MIT,🔥🔥🔥,,❓,,,Adjacent,,,No,,buyout-or-sabbatical,tenured-faculty,high
Chris Summerfield,"Professor, Researcher",Deepmind,🔥🔥🔥,,❓,,Joe / Ryan reach out,Unsure,"(m1) supernegotiator, (m2) public resource regulator",PI,No,"Ryan Lowe, Joe Edelman",buyout-or-sabbatical,tenured-faculty,high
Vincent Wang-Mascianica,Researcher,University of Oxford,🔥,🥞,❓,,,Adjacent,(m4) allied assistant,,Yes,,honorarium-commission,postdoc-or-phd,high
Julian Jara-Ettinger,Researcher,Yale University,🔥🔥🔥,🥞,❓,,,Find out,,,Yes,,honorarium-commission,university-researcher,high
Bryce Goodman,Researcher,University of Oxford,🔥,🥞,❓,,,Early,(m4) allied assistant,,Yes,,honorarium-commission,postdoc-or-phd,high
Wes Holliday,"Professor, Researcher",UC Berkeley,🔥,🥞🥞,❓,,,Unsure,,,Yes,,advisory,tenured-faculty,high
Ivan Vendrov,"Influencer, Researcher",Cosmos Institute,🔥,🥞,❓,,Ask if he wants to be a writer for us,Early,,,Yes,,advisory,industry,high
Andreas Haupt,Researcher,Stanford University,🔥🔥,🥞🥞,❓,,,Unsure,,,Yes,,honorarium-commission,postdoc-or-phd,high
Matija Franklin,Researcher,Deepmind,🔥🔥,🥞🥞🥞,❓,,,Find out,(f1) human-data pipeline,"Amb, Steering",Yes,,honorarium-commission,postdoc-or-phd,high
Smitha Milli,Researcher,Meta,🔥🔥🔥,🥞🥞,🔒,Spreading her work,,Adjacent,(f1) human-data pipeline,Steering,Yes,,advisory,industry,high
Davidad,"Executive, Influencer, Researcher",ARIA,🔥🔥,🥞,🔒,,,Adjacent,,,Yes,,honorarium-commission,policy-org,high
Michiel Bakker,"Professor, Researcher","Deepmind, MIT",🔥🔥,🥞🥞,🔒,,,Adjacent,"(m1) supernegotiator, (m2) public resource regulator",,Yes,,advisory,pre-tenure-faculty,high
Roberto Rafael Maura Rivero,Researcher,,,🥞🥞🥞,,,,,,,No,,convene-only,postdoc-or-phd,low
Paul de Font-Reaulx,Researcher,,,🥞🥞🥞,,,,,,Amb,No,,convene-only,postdoc-or-phd,low
Max Kroner Dale,Researcher,,,🥞🥞🥞,,,,,,Amb,No,,convene-only,postdoc-or-phd,low
Daniel Kilov,Researcher,,,🥞🥞🥞,,,,,,"Amb, Steering",No,,convene-only,postdoc-or-phd,low
Jared Moore,Researcher,Stanford University,,🥞,,,,,,,Yes,,convene-only,university-researcher,high
Rakshit Trivedi,Researcher,,🔥,🥞🥞,,,,Adjacent,(f2) normative adaptation,,Yes,,advisory,independent-or-unknown,low
Raymond Douglas,Researcher,,🔥,🥞,,,,,,,Yes,,advisory,independent-or-unknown,low
Jan Kulveit,Researcher,,🔥,🥞,,,,,,,Yes,,advisory,independent-or-unknown,low
Nenad Tomasev,Researcher,Deepmind,🔥🔥,🥞🥞🥞,,,,Unsure,(m3) market intermediaries,Steering,Yes,,advisory,industry,high
Harvey Lederman,"Professor, Researcher",UT Austin,🔥🔥,🥞,,,,Adjacent,(m0) Full-Stack Social Theory & Revolution,,Yes,,embedded-postdoc,tenured-faculty,high
Nick Caputo,Researcher,Oxford Martin AI Governance Initiative,🔥🔥,🥞🥞🥞,,,,Adjacent,(m2) public resource regulator,Steering,Yes,,honorarium-commission,postdoc-or-phd,high
Noam Kolt,"Professor, Researcher",Hebrew University,🔥🔥,🥞🥞🥞,,,,Bought in,(m2) public resource regulator,,Yes,,embedded-postdoc,tenured-faculty,high
Martin Wahlisch,"Professor, Researcher",University of Birmingham,🔥🔥,,,,,,(m1) supernegotiator,,No,Ryan Lowe,embedded-postdoc,tenured-faculty,high
Noam Brown,Researcher,OpenAI,🔥🔥🔥,,,,Invite to supeneg workshop,,(m1) supernegotiator,,No,Ryan Lowe,advisory,industry,high
Jonathan Gray,Researcher,Anthropic,🔥🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe,advisory,industry,high
Bowen Baker,Researcher,OpenAI,🔥🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe,advisory,industry,high
Sonja Kraiczy,Researcher,Northwestern University,🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe,honorarium-commission,postdoc-or-phd,high
Edith Elkind,"Professor, Researcher",Northwestern University,🔥🔥,,,,Invite to superneg workshop,,(m1) supernegotiator,,No,Ryan Lowe,embedded-postdoc,tenured-faculty,high
Allan Dafoe,"Executive, Policy, Professor, Researcher",Deepmind,,,,,,,,,No,,advisory,tenured-faculty,high
,Researcher,,,,,,,,,,No,,convene-only,unknown,low
David Krueger,"Funder-Confidant, Professor, Researcher",Mila,,,,,,,,,No,,advisory,tenured-faculty,high
Jan Leike,"Funder-Confidant, Researcher",Anthropic,,,,,,,,,No,,advisory,industry,high
Ariel Procaccia,"Professor, Researcher",Harvard University,🔥🔥🔥🔥,,,,,Adjacent,,,No,,buyout-or-sabbatical,tenured-faculty,high
Colleen McKenzie,"Executive, Researcher",AOI,,,,,,,,,No,,advisory,policy-org,high
Hannah Rose Kirk,Researcher,"UK AISI, University of Oxford",,,,,,,,,No,,advisory,policy-org,high
Cody Kommers,Researcher,Alan Turing Institute,🔥,🥞🥞,,,,Adjacent,,,No,,honorarium-commission,university-researcher,high
Joel Leibo,Researcher,Deepmind,🔥,,,,,,,,No,,advisory,industry,high
Zoe Hitzig,Researcher,OpenAI,🔥,,,,,,,,No,,advisory,industry,high
Shibani Santurkar,Researcher,OpenAI,🔥,,,,,,,,No,,advisory,industry,high
Pamela Mishkin,Researcher,OpenAI,,,,,,,,,No,,advisory,industry,high
Tyna Eloundou,Researcher,OpenAI,,,,,,,,,No,,advisory,industry,high
Miles Brundage,"Influencer, Researcher",,,,,,,,,,No,,convene-only,independent-or-unknown,low
Glen Weyl,"Professor, Researcher",,,,,,,,,,No,,advisory,tenured-faculty,high
Divya Siddarth,"Influencer, Researcher",CIP,,,,,,,,,No,,advisory,policy-org,high
Alex Tamkin,Researcher,Anthropic,🔥,,,,,Find out,(f1) human-data pipeline,,No,,advisory,industry,high
Saffron Huang,Researcher,Anthropic,🔥🔥,,,,Joe reach out for call,Find out,(f1) human-data pipeline,First author,No,Joe Edelman,advisory,industry,high
Amanda Askell,Researcher,Anthropic,🔥🔥🔥🔥,,,,,Unsure,(m4) allied assistant,,No,,advisory,industry,high
Seth Lazar,"Professor, Researcher","Deepmind, Johns Hopkins",🔥🔥,🥞,,,,Unsure,(f2) normative adaptation,"Lieutenant, Steering",No,Ryan Lowe,embedded-postdoc,tenured-faculty,high
Joelle Pineau,"Executive, Professor, Researcher","Cohere, McGill University",🔥🔥,,,,,Early,,Advisor,No,Ryan Lowe,embedded-postdoc,tenured-faculty,high
Diogo Schwerz de Lucena,Researcher,AE Studio,,,,,,,,,No,,advisory,industry,high
Cameron Berg,Researcher,AE Studio,,,,,,,,,No,,advisory,industry,high
Marc Carauleanu,Researcher,AE Studio,,,,,,,(f1) human-data pipeline,,No,,advisory,industry,high
Marcus Pivato,"Professor, Researcher",Université Paris 1 Panthéon-Sorbonne,,🥞🥞,,,,,,,No,,advisory,tenured-faculty,high
Taylor Sorensen,Researcher,,,🥞🥞🥞,,,,,,Amb,No,,convene-only,postdoc-or-phd,low
Tobias Werner,Researcher,,🔥,🥞,,,,Adjacent,(m3) market intermediaries,,Yes,,advisory,independent-or-unknown,low
Serena Booth,"Professor, Researcher",Brown University,🔥,,,,,Unsure,,,Yes,,advisory,pre-tenure-faculty,high
Samuele Marro,Researcher,University of Oxford,,,,,,,,,Yes,,convene-only,postdoc-or-phd,high
Sean Moss,Researcher,University of Oxford,,,,,,,,,Yes,,convene-only,postdoc-or-phd,high
Micah Caroll ,Researcher,OpenAI,🔥🔥,,,,,Unsure,,,Yes,,advisory,industry,high
Manon Revel,Researcher,Deepmind,🔥,🥞,,,,Adjacent,,,Yes,,advisory,industry,high
Logan Walls,Researcher,NYU,🔥,🥞,,,,Unsure,,,Yes,,honorarium-commission,postdoc-or-phd,high
Joseph Gubbels,Researcher,McGill University,🔥,🥞,,,,Early,,,Yes,,honorarium-commission,postdoc-or-phd,high
James WS,Researcher,,?,🥞,,,,Unsure,,,Yes,,convene-only,independent-or-unknown,low
Georgios Piliouras,"Professor, Researcher",Deepmind,🔥,,,,,Unsure,,,Yes,,advisory,tenured-faculty,high
Fazl Barez,Researcher,University of Oxford,🔥,🥞🥞🥞,,,,Find out,,,Yes,,honorarium-commission,postdoc-or-phd,high
David Storrs-Fox,"Professor, Researcher",University of Oxford,,,,,,,,,Yes,,advisory,pre-tenure-faculty,high
Brad Knox,"Professor, Researcher",UT Austin,🔥,🥞🥞,,,,Unsure,,,Yes,,advisory,tenured-faculty,high
Bob Jacobs,Researcher,Ghent University,?,,,,,,,,Yes,,convene-only,university-researcher,high
Benjamin Lang,Researcher,University of Oxford,,,,,,,,,Yes,,convene-only,postdoc-or-phd,high
Andrew Koh,Researcher,MIT,🔥🔥,🥞,,,,Find out,,,Yes,,honorarium-commission,postdoc-or-phd,high
Laura Weidinger,Researcher,Deepmind,🔥,,,,,Unsure,,,No,,advisory,industry,high
Tom Everitt,Researcher,Deepmind,🔥,,,,,Unsure,(m4) allied assistant,,Yes,,advisory,industry,high
Nahema Marchal,Researcher,Deepmind,🔥🔥,,,,,Early,,,No,,advisory,industry,high
MH Tessler,Researcher,Deepmind,🔥,🥞,,,,Unsure,,,Yes,,advisory,industry,high
Joel Lehman,Researcher,Cosmos Institute,🔥,🥞🥞,,,,Early,"(m1) supernegotiator, (m4) allied assistant",,Yes,,advisory,industry,high
James Ravi Kirkpatrick,"Professor, Researcher",University of Oxford,🔥,🥞,,,,Unsure,(m4) allied assistant,,Yes,,advisory,pre-tenure-faculty,high
Oliver Klingefjord,Researcher,MAI,🔥🔥🔥🔥,🥞🥞🥞,,,,Bought in,(m3) market intermediaries,,Yes,,internal,internal,high
Ryan Lowe,Researcher,MAI,🔥🔥🔥🔥,🥞🥞🥞,,,,Bought in,,Ecosystem lead,Yes,,internal,internal,high
Joe Edelman,Researcher,MAI,🔥🔥🔥🔥,🥞🥞🥞,,,,Bought in,(m3) market intermediaries,Research lead,Yes,,internal,internal,high
